"pos";"variable";"label";"value_labels"
"1";"za_nr";"STUDIENNUMMER";"[5280] ALLBUS 2021"
"2";"doi";"DIGITAL OBJECT IDENTIFIER";NA
"3";"version";"RELEASE";NA
"4";"respid";"IDENTIFIKATIONSNUMMER DES BEFRAGTEN";NA
"5";"substudy";"TEILSTUDIE";"[1] SIMULTAN"
"5";"substudy";"TEILSTUDIE";"[2] SEQUENZIELL"
"6";"mode";"ERHEBUNGSMODUS DER ALLBUS-HAUPTBEFRAGUNG";"[3] CAWI"
"6";"mode";"ERHEBUNGSMODUS DER ALLBUS-HAUPTBEFRAGUNG";"[4] MAIL"
"7";"splt21";"FRAGEBOGENSPLIT (A, B ODER C)";"[1] SPLIT A"
"7";"splt21";"FRAGEBOGENSPLIT (A, B ODER C)";"[2] SPLIT B"
"7";"splt21";"FRAGEBOGENSPLIT (A, B ODER C)";"[3] SPLIT C"
"8";"eastwest";"ERHEBUNGSGEBIET (WOHNGEBIET): WEST - OST";"[1] ALTE BUNDESLAENDER"
"8";"eastwest";"ERHEBUNGSGEBIET (WOHNGEBIET): WEST - OST";"[2] NEUE BUNDESLAENDER"
"9";"german";"DEUTSCHE STAATSANGEHOERIGKEIT?";"[-32] NICHT GENERIERBAR"
"9";"german";"DEUTSCHE STAATSANGEHOERIGKEIT?";"[1] JA"
"9";"german";"DEUTSCHE STAATSANGEHOERIGKEIT?";"[2] JA, UND ANDERE"
"9";"german";"DEUTSCHE STAATSANGEHOERIGKEIT?";"[3] NEIN"
"10";"ep01";"WIRTSCHAFTSLAGE IN DEUTSCHLAND HEUTE";"[-42] DATENFEHLER: MFN"
"10";"ep01";"WIRTSCHAFTSLAGE IN DEUTSCHLAND HEUTE";"[-11] TNZ: SPLIT"
"10";"ep01";"WIRTSCHAFTSLAGE IN DEUTSCHLAND HEUTE";"[-9] KEINE ANGABE"
"10";"ep01";"WIRTSCHAFTSLAGE IN DEUTSCHLAND HEUTE";"[-8] SPLIT B: WEISS NICHT"
"10";"ep01";"WIRTSCHAFTSLAGE IN DEUTSCHLAND HEUTE";"[1] SEHR GUT"
"10";"ep01";"WIRTSCHAFTSLAGE IN DEUTSCHLAND HEUTE";"[2] GUT"
"10";"ep01";"WIRTSCHAFTSLAGE IN DEUTSCHLAND HEUTE";"[3] TEILS TEILS"
"10";"ep01";"WIRTSCHAFTSLAGE IN DEUTSCHLAND HEUTE";"[4] SCHLECHT"
"10";"ep01";"WIRTSCHAFTSLAGE IN DEUTSCHLAND HEUTE";"[5] SEHR SCHLECHT"
"11";"ep03";"WIRTSCHAFTSLAGE, BEFR. HEUTE";"[-42] DATENFEHLER: MFN"
"11";"ep03";"WIRTSCHAFTSLAGE, BEFR. HEUTE";"[-11] TNZ: SPLIT"
"11";"ep03";"WIRTSCHAFTSLAGE, BEFR. HEUTE";"[-9] KEINE ANGABE"
"11";"ep03";"WIRTSCHAFTSLAGE, BEFR. HEUTE";"[-8] SPLIT B: WEISS NICHT"
"11";"ep03";"WIRTSCHAFTSLAGE, BEFR. HEUTE";"[1] SEHR GUT"
"11";"ep03";"WIRTSCHAFTSLAGE, BEFR. HEUTE";"[2] GUT"
"11";"ep03";"WIRTSCHAFTSLAGE, BEFR. HEUTE";"[3] TEILS TEILS"
"11";"ep03";"WIRTSCHAFTSLAGE, BEFR. HEUTE";"[4] SCHLECHT"
"11";"ep03";"WIRTSCHAFTSLAGE, BEFR. HEUTE";"[5] SEHR SCHLECHT"
"12";"ep04";"WIRTSCHAFTSLAGE IN DEUTSCHLAND IN 1 JAHR";"[-42] DATENFEHLER: MFN"
"12";"ep04";"WIRTSCHAFTSLAGE IN DEUTSCHLAND IN 1 JAHR";"[-11] TNZ: SPLIT"
"12";"ep04";"WIRTSCHAFTSLAGE IN DEUTSCHLAND IN 1 JAHR";"[-9] KEINE ANGABE"
"12";"ep04";"WIRTSCHAFTSLAGE IN DEUTSCHLAND IN 1 JAHR";"[-8] SPLIT B: WEISS NICHT"
"12";"ep04";"WIRTSCHAFTSLAGE IN DEUTSCHLAND IN 1 JAHR";"[1] WESENTLICH BESSER"
"12";"ep04";"WIRTSCHAFTSLAGE IN DEUTSCHLAND IN 1 JAHR";"[2] ETWAS BESSER"
"12";"ep04";"WIRTSCHAFTSLAGE IN DEUTSCHLAND IN 1 JAHR";"[3] GLEICHBLEIBEND"
"12";"ep04";"WIRTSCHAFTSLAGE IN DEUTSCHLAND IN 1 JAHR";"[4] ETWAS SCHLECHTER"
"12";"ep04";"WIRTSCHAFTSLAGE IN DEUTSCHLAND IN 1 JAHR";"[5] WESENTL.SCHLECHTER"
"13";"ep06";"WIRTSCHAFTSLAGE, BEFR. IN 1 JAHR";"[-42] DATENFEHLER: MFN"
"13";"ep06";"WIRTSCHAFTSLAGE, BEFR. IN 1 JAHR";"[-11] TNZ: SPLIT"
"13";"ep06";"WIRTSCHAFTSLAGE, BEFR. IN 1 JAHR";"[-9] KEINE ANGABE"
"13";"ep06";"WIRTSCHAFTSLAGE, BEFR. IN 1 JAHR";"[-8] SPLIT B: WEISS NICHT"
"13";"ep06";"WIRTSCHAFTSLAGE, BEFR. IN 1 JAHR";"[1] WESENTLICH BESSER"
"13";"ep06";"WIRTSCHAFTSLAGE, BEFR. IN 1 JAHR";"[2] ETWAS BESSER"
"13";"ep06";"WIRTSCHAFTSLAGE, BEFR. IN 1 JAHR";"[3] GLEICHBLEIBEND"
"13";"ep06";"WIRTSCHAFTSLAGE, BEFR. IN 1 JAHR";"[4] ETWAS SCHLECHTER"
"13";"ep06";"WIRTSCHAFTSLAGE, BEFR. IN 1 JAHR";"[5] WESENTL.SCHLECHTER"
